baseline_characteristic,standardized_mean_difference,absolute_standardized_mean_difference,balanced_at_0_10
recency,0.006831532454259954,0.006831532454259954,TRUE
history,0.007612868321542611,0.007612868321542611,TRUE
mens,-0.004582433174786321,0.004582433174786321,TRUE
womens,0.007589107787702396,0.007589107787702396,TRUE
zip_code_Rural,0.013659320946457812,0.013659320946457812,TRUE
zip_code_Surburban,-0.01174363231732483,0.01174363231732483,TRUE
zip_code_Urban,0.0019722778608723414,0.0019722778608723414,TRUE
newbie,-8.919163005142206e-4,8.919163005142206e-4,TRUE
channel_Multichannel,-0.00418163455128495,0.00418163455128495,TRUE
channel_Phone,-0.0082761865268121855,0.0082761865268121855,TRUE
channel_Web,0.011013846819585203,0.011013846819585203,TRUE
